Age,Gender,Employment_Type,City_Tier,Monthly_Income_INR,Existing_Loans,Existing_EMI_INR,Loan_Amount_INR,Loan_Tenure_Months,CIBIL_Score,Purpose,Risk
24,male,salaried,tier_2,67500,2,4000,773000,60,648,education,good
55,female,self_employed,tier_1,49900,3,5100,949000,24,568,consumer_durable,bad
49,female,salaried,tier_1,101500,0,0,974000,36,645,home,good
40,female,salaried,tier_3,23300,4,6400,380000,48,656,personal,good
40,male,salaried,tier_2,53100,3,13500,525000,12,602,car,bad
58,male,self_employed,tier_1,64000,3,6800,390000,48,686,personal,good
24,female,unemployed,tier_2,14200,4,300,264000,12,416,personal,bad
51,female,business,tier_2,48800,2,2900,750000,24,675,car,good
29,male,self_employed,tier_3,18100,0,0,368000,48,634,personal,good
25,female,self_employed,tier_2,51000,0,0,880000,24,627,home,bad
44,male,self_employed,tier_1,77900,4,14600,1571000,48,564,business,bad
63,male,salaried,tier_1,105600,4,22700,660000,24,688,car,good
53,male,salaried,tier_1,65500,0,0,1042000,48,761,personal,good
54,male,self_employed,tier_2,63000,3,2800,675000,12,621,car,bad
52,male,self_employed,tier_2,56900,3,9200,1063000,24,660,personal,bad
55,female,salaried,tier_2,87400,0,0,1327000,120,731,car,good
43,male,business,tier_2,68700,3,20100,284000,36,562,personal,bad
26,male,self_employed,tier_1,35400,2,5800,503000,60,637,home,good
57,male,salaried,tier_1,72500,1,10300,1351000,12,702,car,bad
40,male,salaried,tier_1,76600,2,3300,653000,12,559,business,bad
43,male,salaried,tier_2,65900,4,16000,1103000,84,627,education,bad
37,male,salaried,tier_2,32200,1,7000,665000,36,615,education,bad
29,male,salaried,tier_3,37000,3,9300,162000,36,590,personal,good
61,female,salaried,tier_1,100600,3,23100,1523000,24,673,education,good
55,female,salaried,tier_2,53000,3,16200,1147000,24,673,business,bad
49,male,salaried,tier_1,66700,3,20500,377000,24,632,education,good
38,female,self_employed,tier_2,93500,3,10100,809000,84,640,consumer_durable,bad
57,female,self_employed,tier_1,44600,1,2800,720000,120,670,business,good
44,female,salaried,tier_2,84700,0,0,1295000,12,699,education,bad
40,female,salaried,tier_1,106200,4,26500,2088000,12,643,car,bad
40,female,salaried,tier_1,68600,1,23300,1112000,60,749,personal,bad
30,female,salaried,tier_2,54400,4,9500,821000,120,532,personal,bad
25,female,salaried,tier_1,73300,1,24700,915000,36,735,home,bad
45,male,salaried,tier_2,58600,1,2500,272000,84,673,car,good
60,female,salaried,tier_1,60300,0,0,929000,12,702,home,bad
23,male,unemployed,tier_3,7700,2,1300,48000,84,478,personal,bad
58,female,salaried,tier_1,65600,4,100,1569000,120,622,personal,good
57,male,business,tier_2,62500,4,4200,291000,48,574,home,good
33,male,salaried,tier_3,37000,1,2000,170000,60,725,personal,bad
48,male,salaried,tier_2,25100,2,500,490000,24,694,personal,good
28,male,business,tier_1,97800,3,32500,501000,84,518,consumer_durable,bad
54,male,salaried,tier_2,45700,4,15400,526000,84,688,home,bad
51,male,self_employed,tier_1,33700,3,10500,757000,84,656,car,good
36,male,unemployed,tier_2,10600,1,3700,207000,84,463,car,bad
23,male,self_employed,tier_2,42000,1,12200,331000,12,643,personal,bad
63,male,salaried,tier_3,64500,3,21000,534000,48,714,home,good
40,female,salaried,tier_3,34200,0,0,528000,48,641,home,good
60,male,salaried,tier_1,93800,2,8400,1240000,12,714,personal,bad
50,male,salaried,tier_1,120500,3,36400,657000,84,640,personal,good
55,male,salaried,tier_1,59600,1,10000,377000,24,737,home,good
54,male,business,tier_2,68800,2,17300,1366000,36,612,education,good
29,male,self_employed,tier_1,118700,3,23300,1216000,12,653,home,bad
37,female,salaried,tier_2,59600,2,6400,1179000,84,662,car,good
41,female,salaried,tier_2,62700,0,0,438000,24,686,education,good
42,male,self_employed,tier_3,31200,2,8200,486000,48,607,home,bad
22,female,business,tier_2,89000,1,16600,1211000,48,673,home,bad
45,male,salaried,tier_1,73200,3,9200,721000,12,632,business,good
27,male,salaried,tier_1,39100,1,8400,617000,84,727,business,good
53,male,business,tier_2,61800,4,9100,347000,12,626,home,good
51,male,business,tier_1,62500,0,0,1312000,60,624,personal,good
61,male,business,tier_1,98300,4,23300,1829000,24,627,home,bad
